url|address|name|online_order|book_table|rate|votes|phone|location|rest_type|dish_liked|cuisines|approx_cost(for two people)|reviews_list|menu_item|listed_in(type)|listed_in(city)|contact1|contact2
https://www.zomato/bangalore/chill-out-banashankari-bangalore?context=eyJzZSI6eyJlIjpbIjE4NjQyNzUyIiwiMTg1NzY3NTIiLCI2MTAzMSIsIjU4NjM5IiwxODcyNDgyNywiNjA4ODUiLCI1MTIzMiIsIjU3MzM5IiwiMTg3MTAwMjEiLCIxODY4MDA4MCIsIjE4NDQ4MzM2IiwiMTg2NDcyMTgiLCIxODYzNDkyMCIsIjE4NjExNTI1IiwiNTE0MjQiLCI1NTk0MiIsIjU4MDQzIiwiNTI4OTQiLCIxODU5ODE0OCIsIjE4MjYzMzg1IiwiMTgyMjE1NDIiXSwidCI6IkRlbGl2ZXJ5IFJlc3RhdXJhbnRzIGluIEJhbmFzaGFua2FyaSJ9fQ==|161C 6th Main 80 Feet Road Bhuvaneshwari Nagercoil Banashankari Bangalore|Chill Out|No|No||0|+91 9341215167|Banashankari|Quick Bites||South Indian, Chinese|100|Rated 40 RATEDn  Good Location Small restaurantnnNice tasty snacks Had many items here Snacks are very good Tea n coffee to all juices availablennYesterday had Sharjah the same taste of keralannVery good experience|[]|Delivery|Banashankari|919341215167| 
https://www.zomato.com/bangalore/me-and-my-cake-banashankari?context=eyJzZSI6eyJlIjpbIjUxMjMyIiwiNTczMzkiLCIxODcxMDAyMSIsIjE4NjgwMDgwIiwxODQ0ODMzNiwiMTg2NDcyMTgiLCIxODYzNDkyMCIsIjE4NjExNTI1IiwiNTE0MjQiLCI1NTk0MiIsIjU4MDQzIiwiNTI4OTQiLCIxODU5ODE0OCIsIjE4MjYzMzg1IiwiMTgyMjE1NDIiXSwidCI6IkRlbGl2ZXJ5IFJlc3RhdXJhbnRzIGluIEJhbmFzaGFua2FyaSJ9fQ==|BDA Shopping Complex 24th Cross Road Siddanna Layout 2nd Stage Banashankari Bangalore|Me And My Cake|No|No||0|+91 9036070410|Banashankari|Delivery||Bakery, Desserts|500|Rated 10 RATEDn  Do not order anything This restaurant is so irresponsible they do not even answer calls I had ordered cake for my daughter birthday via zomato at 1154am however it was confirmed that the order will be delivered before 300pm same day However zomato does not know what to do and they say restaurant is not receiving our calls Rated 10 RATEDn  My order never reached me and the delivery boys number was never sent The guy who was coordinating with the order told me that Id receive my order in a while and stopped receiving my calls soon Really disappointed and dissatisfied after waiting for so long for a birthday cake to come and be disappointed and disappoint others on someones birthday Really bad service I wish I could rate a 0 for this place cause I didnt even get a chance to be positive and appreciate them for something atleast|[]|Delivery|Banashankari|919036070410| 
https://www.zomato.com/bangalore/sunsadm-banashankari?context=eyJzZSI6eyJlIjpbIjU3MzM5IiwiMTg3MTAwMjEiLCIxODY4MDA4MCIsIjE4NDQ4MzM2IiwxODY0NzIxOCwiMTg2MzQ5MjAiLCIxODYxMTUyNSIsIjUxNDI0IiwiNTU5NDIiLCI1ODA0MyIsIjUyODk0IiwiMTg1OTgxNDgiLCIxODI2MzM4NSIsIjE4MjIxNTQyIiwiNTA2NDEiXSwidCI6IkRlbGl2ZXJ5IFJlc3RhdXJhbnRzIGluIEJhbmFzaGFua2FyaSJ9fQ==|Shop 18  3rd cross roadMarkandeya Layout Banashankari Bangalore|Sunsadm|No|No||0|+91 782929035|Banashankari|Takeaway, Delivery||South Indian|400||[]|Delivery|Banashankari|91782929035| 
https://www.zomato.com/bangalore/annapooraneshwari-mess-banashankari?context=eyJzZSI6eyJlIjpbIjE4NzEwMDIxIiwiMTg2ODAwODAiLCIxODQ0ODMzNiIsIjE4NjQ3MjE4IiwxODYzNDkyMCwiMTg2MTE1MjUiLCI1MTQyNCIsIjU1OTQyIiwiNTgwNDMiLCI1Mjg5NCIsIjE4NTk4MTQ4IiwiMTgyNjMzODUiLCIxODIyMTU0MiIsIjUwNjQxIiwiNjE1MTkiXSwidCI6IkRlbGl2ZXJ5IFJlc3RhdXJhbnRzIGluIEJhbmFzaGFua2FyaSJ9fQ==|625 5th Cross Road Hanumanthnagar Banashankari Bangalore|Annapooraneshwari Mess|No|No||0|+91 9742009518|Banashankari|Mess||South Indian|200||[]|Delivery|Banashankari|919742009518| 
https://www.zomato.com/bangalore/coffee-shopee-banashankari-bangalore?context=eyJzZSI6eyJlIjpbIjE4NTMxNDgyIiwiMTg1OTM1MTkiLCI2MDU3OSIsIjE4NzYyOTQ5IiwxODg2ODc4NiwiMTg0NjAwMzQiLCIxODM3ODc4NiIsIjE4OTAwNjc3IiwiNTgwMzIiLCIxODU2OTIwMCIsIjYxMTM4IiwiMTgwMjIyNTciLCIxODM5Njc1MCIsIjE4NjEwODU2IiwiMTg3MjQ4NDciXSwidCI6IkRlbGl2ZXJ5IFJlc3RhdXJhbnRzIGluIEJhbmFzaGFua2FyaSJ9fQ==|1722 13th Main Road 31st Cross BSK 2nd Stage Banashankari Bangalore|Coffee Shopee|No|No||0|+91 9591504624|Banashankari|Takeaway, Delivery||Beverages|250||[]|Delivery|Banashankari|919591504624| 
https://www.zomato.com/bangalore/dharwad-line-bazaar-mishra-pedha-banashankari?context=eyJzZSI6eyJlIjpbIjE4Mzc4Nzg2IiwiMTg5MDA2NzciLCI1ODAzMiIsIjE4NTY5MjAwIiw2MTEzOCwiMTgwMjIyNTciLCIxODM5Njc1MCIsIjE4NjEwODU2IiwiMTg3MjQ4NDciLCIxODczMzgwNyIsIjU5NTg3IiwiNjA1MTkiLCI1NTk5MSIsIjYxMDY5IiwiMTgxNDg5MzIiLCI1OTI0OCIsIjE4NzYwOTc2IiwiMTg4NTM3MjIiLCIxODU5Njk3NiIsIjE4NzI0MTY2IiwiMTg3MjQ1NDciLCIxODkxODkwNSJdLCJ0IjoiRGVsaXZlcnkgUmVzdGF1cmFudHMgaW4gQmFuYXNoYW5rYXJpIn19|Shop 25 1st Cross 50 Feet Main Road Near BDA Park Girinagar Banashankari Bangalore|Dharwad Line Bazaar Mishra Pedha|No|No||0|+91 990153926|Banashankari|Dessert Parlor||Mithai|150||[]|Delivery|Banashankari|91990153926| 
https://www.zomato.com/bangalore/cake-bite-banashankari?context=eyJzZSI6eyJlIjpbIjE4OTAwNjc3IiwiNTgwMzIiLCIxODU2OTIwMCIsIjYxMTM4IiwxODAyMjI1NywiMTgzOTY3NTAiLCIxODYxMDg1NiIsIjE4NzI0ODQ3IiwiMTg3MzM4MDciLCI1OTU4NyIsIjYwNTE5IiwiNTU5OTEiLCI2MTA2OSIsIjE4MTQ4OTMyIiwiNTkyNDgiLCIxODc2MDk3NiIsIjE4ODUzNzIyIiwiMTg1OTY5NzYiLCIxODcyNDE2NiIsIjE4NzI0NTQ3IiwiMTg5MTg5MDUiXSwidCI6IkRlbGl2ZXJ5IFJlc3RhdXJhbnRzIGluIEJhbmFzaGFua2FyaSJ9fQ==|Near Seetha Circle Vivekananda Park Road Girinagar Banashankari Bangalore|Cake Bite|No|No||0|+91 8277102303|Banashankari|Bakery||Bakery|300|Rated 10 RATEDn  worst service  only money minded they will deliver old cakes please dont order fondant cake from this shop not polite worst behavior unprofessional|[]|Delivery|Banashankari|918277102303| 
https://www.zomato.com/bangalore/aarushs-food-plaza-banashankari?context=eyJzZSI6eyJlIjpbIjU4MDMyIiwiMTg1NjkyMDAiLCI2MTEzOCIsIjE4MDIyMjU3IiwxODM5Njc1MCwiMTg2MTA4NTYiLCIxODcyNDg0NyIsIjE4NzMzODA3IiwiNTk1ODciLCI2MDUxOSIsIjU1OTkxIiwiNjEwNjkiLCIxODE0ODkzMiIsIjU5MjQ4IiwiMTg3NjA5NzYiLCIxODg1MzcyMiIsIjE4NTk2OTc2IiwiMTg3MjQxNjYiLCIxODcyNDU0NyIsIjE4OTE4OTA1Il0sInQiOiJEZWxpdmVyeSBSZXN0YXVyYW50cyBpbiBCYW5hc2hhbmthcmkifX0=|4110 Near PESIT Collage 8th Main Road 1st Cross Dwarakanagar Banashankari Bangalore|Aarush's Food Plaza|No|No||0|+91 900817991|Banashankari|Quick Bites||North Indian, Street Food|200||[]|Delivery|Banashankari|91900817991| 
https://www.zomato.com/bangalore/wood-stove-banashankari?context=eyJzZSI6eyJlIjpbIjE4NTY5MjAwIiwiNjExMzgiLCIxODAyMjI1NyIsIjE4Mzk2NzUwIiwxODYxMDg1NiwiMTg3MjQ4NDciLCIxODczMzgwNyIsIjU5NTg3IiwiNjA1MTkiLCI1NTk5MSIsIjYxMDY5IiwiMTgxNDg5MzIiLCI1OTI0OCIsIjE4NzYwOTc2IiwiMTg4NTM3MjIiLCIxODU5Njk3NiIsIjE4NzI0MTY2IiwiMTg3MjQ1NDciLCIxODkxODkwNSJdLCJ0IjoiRGVsaXZlcnkgUmVzdGF1cmFudHMgaW4gQmFuYXNoYW5rYXJpIn19|3148 2nd Cross 4th Phase Girinagar Near Hosagarnahalli Cross Banashankari Bangalore|Wood Stove|No|No||0|+91 984581093|Banashankari|Takeaway, Delivery||South Indian|150|Rated 50 RATEDn  Wow this food is great spicy pongalwith pure ghee and sweet pongal excellent and the quality is amazing Delivery was quite quicknALL SHOULD TASTE NEVER MISS Rated 50 RATEDn  The puliyogare tastes really good just like home made It was well packed and quick delivery Thanks to Zomato Cleanliness is mantained My favorite dish was corn baji it was delivered hot and spicy Rated 50 RATEDn  Great authentic paatis menu Mouth wateringnUlundohore eaten decades ago Yummy pongal Waiting for the restaurant to opennWhats that corn bhajji Eager to taste |[]|Delivery|Banashankari|91984581093| 
https://www.zomato.com/bangalore/kulfi-more-banashankari-bangalore?context=eyJzZSI6eyJlIjpbIjYxMTM4IiwiMTgwMjIyNTciLCIxODM5Njc1MCIsIjE4NjEwODU2IiwxODcyNDg0NywiMTg3MzM4MDciLCI1OTU4NyIsIjYwNTE5IiwiNTU5OTEiLCI2MTA2OSIsIjE4MTQ4OTMyIiwiNTkyNDgiLCIxODc2MDk3NiIsIjE4ODUzNzIyIiwiMTg1OTY5NzYiLCIxODcyNDE2NiIsIjE4NzI0NTQ3IiwiMTg5MTg5MDUiXSwidCI6IkRlbGl2ZXJ5IFJlc3RhdXJhbnRzIGluIEJhbmFzaGFua2FyaSJ9fQ==|662 19th Main Kidney Foundation Padmanabhan Nagar Banashankari Bangalore|Kulfi & More|No|No||0|+91 9902901010|Banashankari|Dessert Parlor||Ice Cream, Desserts, Juices|150||[]|Delivery|Banashankari|919902901010| 
